,cpdr_respondent_nation_economy,cpdr_respondent_nation,cpdr_complainant_nation_economy,cpdr_means_of_resolution,cpdr_case_status,cpdr_respondent_type,cpdr_complainant_type,cpdr_complainant_nation,cpdr_provenience_nation,cpdr_object_material,cpdr_object_type
"Angkor Wat Temple Relief, Buckle, Bronze Leaf, and Sculpture",Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Government,Cambodia,Cambodia,stone,
1997 Cambodian Head of Shiva Statue,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Government,Cambodia,Cambodia,stone,
2006 Cambodian Fragmets of Krishna Statue,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Government,Cambodia,Cambodia,stone,
2014 Group of Chinese Art Objects and Marble Columns,Developed,Norway,In Transition,Private Negotiation,Object(s) relinquished,Public: Institution,Public: Institution,China,,stone,
"2009 Group of 23,000 Chinese Artifacts",Developed,United Kingdom,In Transition,Inquiry/Demand,Object(s) not relinquished,Public: Institution,Public: Government,China,,,
Prasat Chen Statue of Hanuman,Developed,United States,In Transition,Inquiry/Demand,Object(s) not relinquished,Private: Institution,Public: Government,Cambodia,Cambodia,stone,
Prasat Chen Statue of Bhima,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Government,Cambodia,Cambodia,,
Prasat Chen Statue of Balarama,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Government,Cambodia,Cambodia,stone,
Prasat Chen Statues of Kneeling Attendants,Developed,United States,In Transition,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Cambodia,Cambodia,stone,
"Reclining Vishnu, Lintel from Temple of Phnom Rung, Thailand",Developed,United States,In Transition,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Thailand,Thailand,stone,Sculpture
Marble Wall Relief from the Tomb of Wang Chuzhi,Developed,United States,In Transition,Litigation,Object(s) relinquished,Private: Institution,Public: Government,China,China,stone,Funerary Object
2011 South Korean Group of 1200 Books,Developed,Japan,Developed,Private Negotiation,Object(s) relinquished,Public: Government,Public: Government,South Korea,SouthKorea,,
Gyujanggak Library 167 Uigwe,Developed,Japan,Developed,Private Negotiation,Object(s) relinquished,Public: Government,Public: Government,South Korea,SouthKorea,,
Gyujanggak Library 938 Books,Developed,Japan,Developed,Private Negotiation,Object(s) relinquished,Public: Government,Public: Government,South Korea,,,
Scroll of Amida Triad,Developed,South Korea,Developed,Inquiry/Demand,Object(s) not relinquished,Private: Individual,Private: Institution,Japan,Japan,,
South Korean Group of Nine Vases,Developed,South Korea,Developed,Private Negotiation,Object(s) relinquished,Private: Individual,Private: Individual,Japan,Japan,,
Kaijin Shrine Tathagata Buddha,Developed,South Korea,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,Japan,Japan,metal,
Kanzeon Bodhisattva Bronze,Developed,South Korea,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,Japan,Japan,metal,
Ascension of Christ Oil Painting,Developed,United States,Developed,Litigation,Object(s) relinquished,Public: Government,Public: Government,Poland,,paint,
Marble Sarcophogus Lid of a Sleeping Woman,Developed,United States,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,Italy,,stone,
Oil painting by Johann Conrad Seekatz: Saint Philip Baptizing a Servant of Queen Kandaki,Developed,United Kingdom,Developed,Action by Respondent's Govt.,Object(s) relinquished,Private: Company,Public: Government,Poland,Poland,paint,Painting
546 Ancient Bulgarian Coins,Developed,United States,In Transition,Litigation,Object(s) relinquished,Public: Government,Public: Government,Bulgaria,Bulgaria,,
St. Ramon Tapestry,Developed,United States,Developed,Litigation,Object(s) relinquished,Public: Government,Public: Government,Spain,Spain,,
Rheinsburg Painting,Developed,United States,Developed,Litigation,Object(s) relinquished,Public: Government,Public: Government,Germany,Germany,,
Ogura Collection of Military Artifacts and Jewelry,Developed,Japan,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,South Korea,SouthKorea,,
Odaesan Annals,Developed,Japan,Developed,Private Negotiation,Object(s) relinquished,Public: Government,Public: Government,South Korea,SouthKorea,,
2004 Nigerian Monoliths,Developed,France,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Nigeria,Nigeria,,
Daejeon Hoetong,Developed,Japan,Developed,Private Negotiation,Object(s) relinquished,Public: Government,Public: Government,South Korea,,,
Nok Terracotta Figurines (2012 dispute),Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Government,Nigeria,,terracotta,Figurine
Additional Data from the Munhonbigo,Developed,Japan,Developed,Private Negotiation,Object(s) relinquished,Public: Government,Public: Government,South Korea,,,
Ombalantu Ritual Stone,Developed,Finland,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Namibia,Namibia,stone,
Gyujanggak Library Royal Books,Developed,Japan,Developed,Private Negotiation,Object(s) relinquished,Public: Government,Public: Government,South Korea,SouthKorea,,
Queen Munjeong Golden Turtle Seal,Developed,United States,Developed,Inquiry/Demand,Object(s) not relinquished,Private: Institution,Public: Government,South Korea,SouthKorea,,
Korean Sakyamuni Triad Painting,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,South Korea,SouthKorea,,
"2003 Group of Neo-Assyrin, Babylonian, Sumerian, Roman and Modern Objects",Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Iraq,Iraq,,
Sivan Temple Shiva Nataraja Statue,Developed,Australia,In Transition,Inquiry/Demand,Object(s) not relinquished,Private: Institution,Public: Government,India,India,,
Bodhisattva Black Sandstone Sculpture,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,India,,,
8 Ancient Stone Seals from Iraq,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Government,Iraq,Iraq,stone,
2009 Group of Afghan Cultural Items,Developed,United Kingdom,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Institution,Afghanistan,,,
2011 Group of Afghan Cultural Items,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Afghanistan,Afghanistan,,
2005 Bactrian Weapon Fragments,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Afghanistan,Afghanistan,,
"1,044 Iraqi Antiquities",Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Iraq,,terracotta,Stele
"10,000 Cuneiform Tablets",Developed,United States,In Transition,Inquiry/Demand,Object(s) not relinquished,Private: Institution,Public: Government,Iraq,,,
"2006 Iraqi Pottery, Vases, Oil Lamp, Statues, and Terracotta Plaques",Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Company,Public: Government,Iraq,Iraq,,
Religious Text from Turin Archdiocese Archives,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Institution,Italy,Italy,,
9 Korean Royal Seals,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Government,South Korea,SouthKorea,,
Old Fisherman from Aphrodisias Marble Torso and Medieval Tomb Niche,Developed,Germany,Developed,Private Negotiation,Object(s) not relinquished,Public: Institution,Public: Government,Turkey,Turkey,,
Sion Treasure Liturgical Objects,Developed,United States,Developed,Inquiry/Demand,Object(s) not relinquished,Private: Institution,Public: Government,Turkey,Turkey,,
"2012 Cycladic Stargazer, Ottoman Ceramics, Bronze, and Marbles",Developed,United States,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Institution,Public: Government,Turkey,Turkey,ceramic,
Samsat Stele,Developed,United Kingdom,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Institution,Public: Government,Turkey,Turkey,metal,
Monastary of Dionyiou Illuminated Manuscript,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Greece,Greece,,
NasamnaTole Statues of Uma-Maheshowor and Vishnu,Developed,France,Developing,Inquiry/Demand,Object(s) relinquished,Public: Institution,Public: Government,Nepal,Nepal,,
2014 Cache of Islamic Gold Coins,In Transition,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Company,Public: Government,Syria,,,
Sevso Treasure Silver Plates and Platters,Developed,United Kingdom,Developed,,Object(s) relinquished,Private: Individual,Public: Government,Hungary,Hungary,,
2003 69 Ancient Artifacts Group,Developed,Netherlands,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Iraq,Iraq,,
2003 Saddam State Piece,Developed,United Kingdom,In Transition,Inquiry/Demand,Object(s) not relinquished,Private: Individual,Public: Government,Iraq,Iraq,,
Greenlandic Watercolor Paintings,Developed,Denmark,Developed,Private Negotiation,Object(s) relinquished,Public: Institution,Public: Institution,Greenland,Greenland,watercolor,Painting
"35,000 Greenlandic Archaeological and Ethnographic Artifacts",Developed,Denmark,Developed,Private Negotiation,Object(s) relinquished,Public: Institution,Public: Institution,Greenland,,wood,Textile
Zimbabwean Stone Bird Lower Half,Developed,Germany,In Transition,Sua sponte donation,Object(s) relinquished,Public: Institution,Public: Government,Zimbabwe,,,
Persepolis Achaemenid Limestone Relief,Developed,France,In Transition,Litigation,Object(s) not relinquished,Private: Individual,Public: Government,Iran,,,
Cerveteri Kylix with Trojan War Imagery,Developed,United States,Developed,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Government,Italy,,,
Pharonic Statue of Man in Headdress Holding Shrine to Osiris,Developed,United States,In Transition,Inquiry/Demand,Object(s) not relinquished,Private: Institution,Public: Institution,Egypt,,,
Zunian Religious Artifacts II,Developed,France,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Institution,Private: Institution,,,,
Religious artifacts: Zunian,Developed,Netherlands,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Institution,Private: Institution,,,,
2003 Group of Iraqi Jewish Antiquities,In Transition,Iraq,Developed,Litigation,Object(s) not relinquished,Public: Government,Public: Government,United States,Iraq,,
2003 Group of Antiquities from Iraq II,In Transition,Syria,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Iraq,Iraq,,
2003 Group of Antiquities from Iraq via Jordan,In Transition,Jordan,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,Iraq,Iraq,,
2003 Group of Antiquities from Iraq via France,Developed,France,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,Iraq,Iraq,,
2003 Group of Antiquities from Iraq via Switzerland,Developed,Switzerland,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,Iraq,Iraq,,
Iraqi Ceremonial Sword,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Government,Iraq,Iraq,,
2003 Saddam Era Weaponsand Paintings,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Government,Iraq,Iraq,,
2010 Group of Military and Architectura Ojects from Saddam's Miitary,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Government,Iraq,Iraq,,
2004 Gold Vesselfrom Ur,Developed,Germany,In Transition,Litigation,Object(s) not relinquished,Private: Institution,Public: Government,Iraq,Iraq,,
2009 Mosopotamian Artifacts Group,Developed,Germany,In Transition,Litigation,Object(s) not relinquished,,Public: Government,Iraq,Iraq,,
2003 18 Iraqi Artifacts,Developed,Saudi Arabia,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Iraq,Iraq,,
1989 Turkish Coin Group,Developed,United States,Developed,Litigation,Object(s) relinquished,Private: Company,Public: Government,Turkey,Turkey,silver,Coin
Floral Ceramic Tiles from Tomb of Sultan Selim II,Developed,France,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Institution,Public: Government,Turkey,Turkey,ceramic,
Hattusa Sphinx Statue,Developed,Germany,Developed,Private Negotiation,Object(s) relinquished,Public: Institution,Public: Government,Turkey,Turkey,,
14 Italian Antiquities,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Public: Institution,Public: Government,Italy,Italy,,
2004 Italian Antiquities Group,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,,
Euphronios Krater,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Public: Institution,Public: Government,Italy,Italy,terracotta,Vessel
Lydian Hoard,Developed,United States,Developed,Litigation,Object(s) relinquished,Private: Institution,Public: Government,Turkey,Turkey,stone,Sphinx
Teotihuacan Murals,Developed,United States,In Transition,Private Negotiation,Object(s) relinquished,Public: Institution,Public: Government,Mexico,Mexico,paint,Mural
Trojan Early Bronze Material,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Public: Institution,Public: Government,Turkey,,,
Edessa Mosaic of Orpheus,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Public: Institution,Public: Government,Turkey,Turkey,,
Kalpis Water Vessel of Dionysus,Developed,United States,Developed,Litigation,Object(s) relinquished,Public: Institution,Public: Government,Italy,Italy,,
Hopi Katsinam Masks,Developed,France,Developed,Litigation,Object(s) not relinquished,Private: Company,Private: Institution,France,,,
"Frescos from Church of Euphemianos (Lysi, Cyprus)",Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Institution,Cyprus,Cyprus,paint,Religious Icon
Hadrian's Villa Vases and Statuary,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,,
Totems from Graves in Kenya,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Institution,Public: Government,Kenya,Kenya,,
Italian antiquities from collection of bankrupt Robin Symes,Developed,United Kingdom,Developed,Inquiry/Demand,Object(s) not relinquished,Private: Company,Public: Government,Italy,Italy,,
24 Katsinam Masks,Developed,France,Developed,Sua sponte donation,Object(s) not relinquished,Private: Company,Public: Government,United States,,,
Duryodhana Statue of Koh Ker,Developed,United States,In Transition,Litigation,Object(s) relinquished,Private: Company,Public: Government,Cambodia,Cambodia,,
Funerary Mask of Ka-nefer-nefer II,Developed,United States,In Transition,Litigation,Object(s) not relinquished,Public: Institution,Public: Government,Egypt,Egypt,,Mask
Carrolup River Settlement Landscape Paintings,Developed,United States,Developed,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Institution,Australia,Australia,,
Morgantina Aphrodite Marble Statue,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,stone,
Sivapuram Nataraja Bronze Statue,Developed,United States,In Transition,Litigation,Object(s) relinquished,Public: Institution,Public: Government,India,India,metal,Religious Icon
2002 Benin Bronze Sculptures,Developed,United Kingdom,Developing,,Object(s) not relinquished,Public: Institution,Public: Government,Nigeria,Nigeria,metal,
Lewis Chessmen Set,Developed,United Kingdom,Developed,,Object(s) not relinquished,Public: Institution,,,,ivory,Game
Iranian Silver Griffin Drinking Cup,Developed,United States,Developed,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,Iran,Iran,,
Danilov Bells,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Russia,Russia,metal,
2003 Various Persian Artifacts,Developed,United States,Developed,Litigation,Object(s) not relinquished,Public: Institution,,Iran,,,
Bear Song Leader's Staff,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Public: Institution,,United States,,,
Gadgach Temple Vishnu and Lakshmi Sandstone Sculptures,Developed,United States,In Transition,,Object(s) relinquished,Public: Government,Public: Government,India,India,,
700 Bronze Items and 400 Persian Paintings from Iran,Developed,Russia,Developed,Private Negotiation,Object(s) not relinquished,Public: Institution,Public: Government,Iran,Iran,,
WWII Soviet Seized 600 Bronze Items,Developed,Russia,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Institution,Public: Government,Germany,,,
Djenne Terracotta Ojects,Developed,United States,In Transition,Inquiry/Demand,Object(s) not relinquished,Public: Institution,Public: Government,Mali,Mali,ceramic,
Macchu Picchu Group of Artifacs,Developed,United States,In Transition,Litigation,Object(s) relinquished,Private: Institution,Public: Government,Peru,Peru,terracotta,Tool
2014 Italian Sarcophogus,Developed,Italy,Developed,Litigation,Object(s) not relinquished,Public: Government,Public: Government,United States,Italy,,
2011 Group of Ancient Chinese Artifacts,Developed,United States,Developed,Litigation,Object(s) relinquished,Private: Institution,Public: Government,United States,China,,
Nigerian Nok Terracotta,Developed,France,Developing,Private Negotiation,Object(s) not relinquished,Public: Government,Public: Government,Nigeria,Nigeria,,
Venus of Cyrene Marble Statue,Developed,Italy,Developed,Litigation,Object(s) relinquished,Public: Government,Public: Government,Libya,,stone,Statue
Perge Weary Herakles,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Public: Institution,Public: Government,Turkey,Turkey,stone,Statue
Rutigliano Volute-Krater,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Public: Institution,Public: Government,Italy,Italy,,
2011 Duryodhan,Developed,United States,Developed,Sua sponte donation,Object(s) relinquished,Private: Company,Public: Government,United States,Thailand,stone,
Pongpat Trove Cambodian Antiquities,In Transition,Thailand,Developing,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,Cambodia,Cambodia,stone,Statue
"2001 Iraq Cuneiform Tablets, Seals, and Amulets",Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Company,Public: Government,Iraq,Iraq,terracotta,Plaque or Tablet
Greek Vibia Sabina Statue,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Italy,Greece,stone,Statue
2007 Italian Ceramics and Writings,Developed,United States,Developed,,Object(s) relinquished,Private: Individual,Public: Government,United States,Italy,,Manuscript
2012 Egyptian Ka-Nefer-Nefer Mask,Developed,United States,Developed,Litigation,Object(s) not relinquished,Private: Institution,Public: Government,United States,Egypt,wood,Mask
2003 Yuanmingyuan Bronze Relics,Developed,United Kingdom,In Transition,Sua sponte donation,Some objects relinquished,Private: Institution,Public: Government,China,China,metal,Sculpture
2003 Ban Chiang Artifacts,Developed,United States,Developed,Sua sponte donation,Some objects relinquished,Private: Individual,Public: Government,United States,Thailand,stone,
Moche Artifacts,Developed,United States,In Transition,Litigation,Object(s) not relinquished,Private: Individual,Public: Government,Peru,Peru,metal,Sculpture
Tamil Nadu Bronze Shiva Nataraja,Developed,Australia,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,India,India,metal,Statue
Anasazi Burial Blanket,Developed,United States,Developed,Litigation,Object(s) relinquished,Public: Government,Public: Government,United States,UnitedStates,fabric/cloth,Funerary Object
Sicilian Gold Phiale Mesomphalos,Developed,United States,In Transition,Litigation,Object(s) relinquished,Private: Individual,Public: Government,United States,Italy,metal,Vessel
1980 Sevso Treasure,Developed,United Kingdom,Developed,Arbitration,Some objects relinquished,Private: Individual,Public: Government,Hungary,,metal,Food/Drink Container
Hermes Marble Statue Head,Developed,United Kingdom,Developed,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Government,Greece,Greece,stone,Sculpture
Kaats and Brown Bear Totem Pole,Developed,United States,,Private Negotiation,Object(s) relinquished,Private: Institution,,,UnitedStates,,
Arnamagnæan Manuscript Collection,Developed,Denmark,Developed,Private Negotiation,Object(s) relinquished,Public: Government,Public: Government,Iceland,,vellum,Music Score
11th - 12th Century Chola Bronze,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,,,India,India,metal,Statue
Government of Greece vs. Bonhams (UK),Developed,United Kingdom,Developed,Inquiry/Demand,Object(s) relinquished,Private: Company,Public: Government,,,stone,Statue
32 artifacts from Pharaonic and Roman periods,Developed,Switzerland,In Transition,,Object(s) relinquished,Public: Government,Public: Government,Egypt,,,
Terracotta Head Depicting Greek God Hades,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,terracotta,Sculpture
Morgantina Silver,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,metal,Food/Drink Container
Aidonia Treasure,Developed,United States,Developed,Private Negotiation,Some objects relinquished,Private: Individual,Public: Government,Greece,Greece,metal,Seal
Mummy of Buddhist Monk Encased in Zhanggong Zushi Statue,Developed,Netherlands,In Transition,Litigation,Object(s) not relinquished,Private: Individual,Public: Government,China,China,papier-mâché,Statue
1997 Cypriot Artifacts,In Transition,Turkey,Developed,Litigation,Object(s) relinquished,Private: Individual,Public: Government,Cyprus,Cyprus,wood,Religious Icon
Palace of Sargon II Iraqi Antiquities,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,Iraq,Iraq,terracotta,Weapon
Khajuraho Parrot Lady Sculpture,Developed,Canada,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Institution,Public: Government,India,India,stone,Sculpture
Statue of Buddhist Goddess Guanyin,Developed,Australia,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,China,China,stone,Statue
Figurines from Tomb of Xi'an Empress Dou,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Company,Public: Government,China,China,ceramic,Statue
Terracina Female Marble Statue Torso,Developed,United States,Developed,,Object(s) relinquished,Private: Company,Public: Government,Italy,Italy,stone,Statue
Lysippan Zeus Statue,Developed,United States,Developed,,Object(s) relinquished,Private: Company,Public: Government,Italy,Italy,metal,Statue
2017 Artemis Marble Statue Torso,Developed,United States,Developed,,,Public: Government,Public: Government,Italy,,stone,Statue
Sacred Textiles of Coroma -- U.S.,Developed,United States,In Transition,Litigation,Some objects relinquished,Private: Individual,Public: Government,Bolivia,Bolivia,wool,Textile
"5,361 Italian Ceramics, Statues and Frescoes",Developed,Switzerland,Developed,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Government,Italy,Italy,stone,Statue
2011 Ancient Greek Coins,Developed,Greece,Developed,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Government,Germany,,metal,Coin
Italian Seventeenth Century Books,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Government,Italy,Italy,vellum,Book
Italian Cannon,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,,Public: Government,Italy,Italy,metal,Firearm
2004 Ethiopian Manuscripts,Developed,United Kingdom,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Institution,Public: Government,Ethiopia,Ethiopia,paper,Manuscript
Benin Statue of Ibis Bird and Monarch's Bell,Developed,United Kingdom,In Transition,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Government,Nigeria,Benin,metal,Statue
Angkor Wat Architectual Features,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Government,Cambodia,Cambodia,stone,Sculpture
11 Iraqi Cylinder Seals,Developed,Saudi Arabia,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Iraq,Iraq,stone,Cylinder Seal
Nazlet Khater Axe,Developed,Belgium,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Institution,Public: Government,Egypt,Egypt,stone,Weapon
"Urartu Persian, Sumerian, and Assyrian Antiquities",In Transition,Hungary,In Transition,Sua sponte donation,,Public: Government,Public: Government,Armenia,Armenia,metal,Food/Drink Container
Neo-Assyrian Gold Earrings,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Company,Public: Government,Iraq,Iraq,metal,Jewelry
671 Iraqi Antiquities,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,Iraq,Iraq,metal,Weapon
2003 Sumerian Cone Figurines,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,Iraq,Iraq,metal,Figurine
2001 Sumerian Peg Figurine,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Company,Public: Government,Iraq,Syria,metal,Figurine
Koh Ker Statue of Hanuman,Developed,United States,Developing,Private Negotiation,Object(s) relinquished,Public: Government,Public: Government,Cambodia,Cambodia,stone,Statue
Karnak Temple Luxor Egyptian Pillar Fragment,Developed,United Kingdom,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Government,Egypt,Egypt,stone,Sculpture
2003 Behbeit el-Hagar Temple Reliefs,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Company,Public: Government,Egypt,Egypt,stone,Sculpture
Beijing Summer Palace Bronze Rabbit and Rat Heads,Developed,France,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Government,China,China,metal,Timepiece
1983 Coroma Textiles,Developed,Canada,In Transition,Litigation,Some objects relinquished,Private: Individual,Public: Government,Bolivia,Bolivia,wool,Textile
Aubin Tonalamatl Codex,In Transition,Mexico,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,France,Mexico,paper,Book
Portraits of Hans Tucher and Felicitas Tucher,Developed,United States,Developed,Litigation,Object(s) relinquished,Private: Individual,Public: Government,Germany,Germany,paint,Painting
"3,800 Iraqi Ancient Artifacts",Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Company,Public: Government,Iraq,Iraq,terracotta,Seal
"Egyptian Stele, Dedicated to Pa-di-Sena of Temple of Hathor",Developed,United States,In Transition,Action by Respondent's Govt.,Object(s) relinquished,Private: Institution,Public: Government,Egypt,Egypt,stone,Stele
Egyptian Gilded Coffin of Nedjemankh,Developed,United States,In Transition,Action by Respondent's Govt.,Object(s) relinquished,Private: Institution,Public: Government,Egypt,Egypt,wood,Funerary Object
Old Sumer Palace Beijing Tiger Ying Bronze Vessel,Developed,United Kingdom,In Transition,,Object(s) not relinquished,Private: Institution,Public: Government,China,China,metal,Food/Drink Container
Ceramic vessels and a Marble Sculpture,Developed,United States,Developed,Litigation,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,stone,Statue
"4,000-year-old Mesopotamian cylinder seals",Developed,United States,In Transition,Litigation,Object(s) relinquished,Private: Individual,Public: Government,Iraq,Iraq,marble,Cylinder Seal
Iraqi Stone Frieze,Developed,United Kingdom,In Transition,Action by Respondent's Govt.,Object(s) relinquished,Private: Company,Public: Government,Iraq,Iraq,stone,Stele
9 Cyprian figurines and pendants,Developed,United Kingdom,Developed,Action by Respondent's Govt.,Object(s) relinquished,Private: Company,Private: Individual,Cyprus,Cyprus,stone,Jewelry
"98 Cyprian Antiquities, Icons; Wood Chests",Developed,Austria,Developed,Action by Complainant's Govt.,Object(s) relinquished,Private: Individual,Public: Government,Cyprus,,wood,Sculpture
20 Cyprian Antiquities,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Institution,Public: Government,Cyprus,Cyprus,,
Cyprian Icon of St. John the Baptist,Developed,United Kingdom,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Institution,Public: Institution,Cyprus,Cyprus,wood,Religious Icon
"Four Icons from Antiphonitis Church, Cyprus",Developed,Netherlands,In Transition,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Institution,Cyprus,Cyprus,wood,Religious Icon
Eight-armed Stele of Lakshmi-Narayana,Developed,United States,Developing,Action by Respondent's Govt.,Object(s) relinquished,Private: Individual,Public: Government,Nepal,Nepal,stone,Stele
Asante Gold Artifacts in Wallace Collection (London),Developed,United Kingdom,Developing,Inquiry/Demand,Object(s) not relinquished,Private: Institution,Public: Government,Ghana,Ghana,gold,Weapon
Rio Azul Funerary Mask,Developed,Spain,In Transition,,Unresolved,Public: Government,Public: Government,Guatemala,Guatemala,stone,Mask
Nine Greek and Italian Antiquities Owned by Shelby White,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Individual,Public: Government,,Italy,terracotta,Vase
18 Turkish Antiquities in the Metropolitan Museum's Norbert Schimmel Collection,Developed,United States,,,Unresolved,Private: Institution,Public: Government,Turkey,,silver,Food/Drink Container
